species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Xenoglaux loweryi,-5.673133,-77.76283,2024-12-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-12-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730227,-77.964584,2023-02-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.675352,-77.7665,2023-02-01,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-02-01,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.7294,-77.9409,2023-03-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.7294,-77.9409,2023-03-11,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-03-28,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-03-21,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-03-28,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-03-21,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695846,-77.81133,2023-03-25,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-04-23,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-04-23,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2023-04-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-04-20,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-04-20,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-04-23,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-04-10,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-05-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-05-27,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-05-20,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-05-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-06-28,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-06-29,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696492,-77.8112,2023-06-28,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696492,-77.8112,2023-06-28,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-06-29,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-06-28,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.687125,-77.78647,2023-06-22,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-07-10,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-07-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-07-25,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.69472,-77.81208,2023-07-24,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.69472,-77.81208,2023-07-24,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-07-14,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-08-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-08-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-08-29,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-09-12,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-09-18,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-09-18,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-09-12,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-09-09,2023,HUMAN_OBSERVATION,
