species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Cinclodes palliatus,-11.584846,-76.25805,2024-10-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2024-10-22,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2024-10-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2024-10-22,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-10-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-10-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-10-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-10-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-10-26,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-10-28,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-10-28,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-10-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-10-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.172243,-75.62779,2024-10-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-11-22,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.573026,-76.25957,2024-11-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.737766,-76.25577,2024-11-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.581153,-76.357285,2024-11-16,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
