decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_13,bio_15,presencia,estrategia_pseudo
-6.149388446804755,-76.33070163075702,10.875165939331055,87.42094421386719,33.92226028442383,279.0,30.322660446166992,0,buffer
-11.241934415944936,-77.54526057110301,7.918583393096924,51.53314971923828,285.7878112792969,12.0,72.24639892578125,0,ambiental
-6.0163024343397815,-80.5597147801637,11.154000282287598,61.771053314208984,262.5602722167969,24.0,176.87205505371094,0,ambiental
-5.775720550118425,-80.6799796165233,10.638500213623047,60.82270431518555,263.7641906738281,18.0,153.14877319335938,0,ambiental
-12.954076621237675,-76.41259280175906,8.752917289733887,56.41946792602539,269.01904296875,20.0,102.83549499511719,0,ambiental
-6.2422982302619765,-80.17161070270288,11.989166259765625,64.017333984375,256.86358642578125,32.0,177.63604736328125,0,ambiental
-13.892934823201713,-76.49627735345169,5.9375,46.89042663574219,263.6352844238281,0.0,0.0,0,ambiental
-14.647954477841434,-75.96487811766784,6.516666889190674,48.631839752197266,264.14105224609375,0.0,0.0,0,ambiental
-11.634931184942467,-77.09839509303748,9.594833374023438,57.79671859741211,268.2095031738281,5.0,55.048187255859375,0,ambiental
-14.771739380728008,-75.53169528933438,9.108333587646484,56.196529388427734,265.2441711425781,0.0,0.0,0,ambiental
-5.739654617480296,-80.44243206012031,12.593250274658203,65.9056396484375,254.23837280273438,32.0,170.97647094726562,0,ambiental
-14.639740182848225,-75.55377313787109,10.055749893188477,58.64779281616211,264.41644287109375,0.0,0.0,0,ambiental
-12.066951976579869,-77.17743771555205,5.712963104248047,46.27962875366211,259.4202575683594,2.0,38.53140640258789,0,ambiental
-6.175747231393846,-80.05898241569435,12.150250434875488,65.08597564697266,248.73333740234375,38.0,181.67079162597656,0,ambiental
-15.13164044773745,-75.38508154698664,7.976449012756348,53.61927032470703,260.43121337890625,0.0,0.0,0,ambiental
-13.827406010072355,-76.14713622736647,9.410249710083008,57.745765686035156,262.87158203125,1.0,26.646936416625977,0,ambiental
-12.525769532670576,-76.68267383887553,8.35696029663086,55.245113372802734,260.2525634765625,10.0,81.89544677734375,0,ambiental
-11.85971868247049,-77.22078955002553,6.516666412353516,49.61928939819336,258.4856262207031,3.0,47.53187561035156,0,ambiental
-14.448826681281119,-75.60676972973592,10.547082901000977,60.20368194580078,262.6383972167969,1.0,33.36423873901367,0,ambiental
-14.091131665239468,-75.83641011438122,11.052499771118164,61.991703033447266,260.3833312988281,1.0,36.18136215209961,0,ambiental
-14.115168915229038,-75.89679038065184,11.052499771118164,61.991703033447266,260.3833312988281,1.0,36.18136215209961,0,ambiental
-5.586101540014344,-80.4157977534246,12.81208324432373,66.86192321777344,244.00048828125,41.0,179.95277404785156,0,ambiental
-12.18939443204276,-76.86001651164828,8.234916687011719,55.73170471191406,255.8425750732422,7.0,58.63911056518555,0,ambiental
