decimalLatitude,decimalLongitude,bio_4,bio_5,bio_7,bio_9,bio_18,elevation,presencia,estrategia_pseudo
-0.2894464436665913,-79.48672813189138,64.49566,29.894,10.414,23.782,1233.0,235,0,ambiental
-8.410200688365142,-75.67493358274288,17.690159,32.713,12.590002,26.350834,956.0,273,0,ambiental
-8.376634758243778,-75.71582342123598,17.690159,32.713,12.590002,26.350834,956.0,273,0,ambiental
-2.083756321167497,-79.24196444396173,85.095955,30.202,11.924,23.297,1213.0,210,0,ambiental
-0.9116356076666854,-79.36712625457598,76.337524,30.359,10.816999,23.73,1425.0,108,0,ambiental
-1.5775480492716198,-79.52018641349564,90.633835,30.8,11.211998,24.156,1222.0,15,0,ambiental
-8.450114188900564,-75.13707059261782,20.353897,32.971,12.527,26.524166,738.0,203,0,ambiental
-8.024016709491146,-75.72478614936924,20.894161,32.897,12.356998,26.504833,863.0,217,0,ambiental
-8.578279199241031,-75.03058590028891,22.460836,33.018,12.674002,26.479,704.0,193,0,ambiental
-8.787293503832805,-75.38080240037583,17.888119,32.906002,12.683002,26.523834,1132.0,278,0,ambiental
-1.8976732914963852,-79.45179995686348,99.36231,30.89,11.532999,24.200666,1146.0,9,0,ambiental
-1.0320670032305692,-79.43277004167868,77.004555,30.628,10.873001,23.976833,1290.0,70,0,ambiental
-1.7436844958095676,-79.46024720503218,94.86587,30.743,11.261,24.018166,1226.0,10,0,ambiental
-12.502838550060684,-70.76865099487924,88.14128,31.177,13.149,23.621834,1138.0,321,0,ambiental
-8.200225636320953,-75.3628605063743,19.877562,32.635,12.569998,26.136333,850.0,332,0,ambiental
-1.0282531717282524,-79.33280379200919,73.02352,29.497,10.716,23.043667,1364.0,240,0,ambiental
-0.9790721363685648,-79.58477925150368,73.22893,30.664001,10.894001,24.100834,1194.0,72,0,ambiental
-1.0867742807878429,-79.50987143754969,79.95391,30.568,10.922001,23.941666,1184.0,63,0,ambiental
-13.135313914994123,-70.41093318498957,93.51602,30.487,13.073,23.446999,1542.0,442,0,ambiental
-8.025764425114433,-75.501299221801,21.126799,32.939,12.490999,26.448166,818.0,239,0,ambiental
