decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_5,bio_15,bio_18,presencia,estrategia_pseudo
-9.299663128246191,-74.79563741304236,11.51349925994873,85.47512817382812,35.015811920166016,31.393999099731445,40.18873596191406,625.0,0,buffer
-13.681531899870569,-75.66799763844391,11.324166297912598,71.89946746826172,169.82574462890625,23.891000747680664,148.42135620117188,73.0,0,buffer
-11.312419621799094,-77.07254791026814,10.995916366577148,72.10437774658203,162.66014099121094,23.410999298095703,135.8493194580078,118.0,0,buffer
-7.838150784259842,-77.02199449028629,11.708999633789062,87.28289031982422,29.78835678100586,23.802000045776367,45.15824890136719,273.0,0,buffer
-13.740534833455474,-75.32251102334892,13.209250450134277,75.36515045166016,125.20173645019531,17.375999450683594,135.78262329101562,248.0,0,buffer
-9.185258713054177,-74.59577164590266,11.716416358947754,83.8744125366211,42.77793502807617,30.60700035095215,40.437618255615234,548.0,0,buffer
-12.33541043363359,-73.65252526216122,12.855999946594238,79.07005310058594,67.14955139160156,19.01799964904785,57.39009475708008,318.0,0,buffer
-11.04248197354658,-74.58068664081816,11.642250061035156,82.20185852050781,59.81419372558594,28.982999801635742,45.12716293334961,542.0,0,buffer
-11.282852081173868,-76.52632072900063,13.73116683959961,78.01356506347656,110.12875366210938,10.328999519348145,76.47819519042969,447.0,0,buffer
-11.80231070380978,-76.98001940956594,8.925999641418457,60.168521881103516,231.6226348876953,25.518999099731445,97.52766418457031,25.0,0,buffer
-10.840698264318863,-76.70983812449477,13.511916160583496,78.60335540771484,96.75869750976562,12.435999870300293,77.50450134277344,398.0,0,buffer
-8.07129121671192,-76.94528532703329,11.860250473022461,87.40052032470703,30.216928482055664,24.101999282836914,47.378238677978516,268.0,0,buffer
-11.840328418457489,-75.19915248986008,13.692500114440918,79.42745971679688,47.42058563232422,17.191999435424805,65.72189331054688,230.0,0,buffer
-8.296652496438055,-76.97352236560407,12.176166534423828,86.01417541503906,32.03252029418945,21.32200050354004,55.08223342895508,320.0,0,buffer
